"filename", "language", "JavaScript", "JSON", "Markdown", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 15, 29
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\build\app.js", "JavaScript", 229, 0, 0, 0, 0, 62, 43, 334
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\build\index.html", "HTML", 0, 0, 0, 0, 299, 9, 49, 357
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\build\nanostyles.css", "CSS", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\build\styles.css", "CSS", 0, 0, 0, 1, 0, 1, 1, 3
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\css\styles.css", "CSS", 0, 0, 0, 184, 0, 5, 57, 246
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\package-lock.json", "JSON", 0, 5000, 0, 0, 0, 0, 1, 5001
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\package.json", "JSON", 0, 29, 0, 0, 0, 0, 1, 30
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\postcss.config.js", "JavaScript", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\alymo\Documents\webProjects\ice-cream-online-shop\tailwind.config.js", "JavaScript", 18, 0, 0, 0, 0, 0, 2, 20
"Total", "-", 256, 5029, 14, 186, 299, 78, 170, 6032